Output file needed for ML task
columns representation is as follows: -
1. Experiment Number
2. Trial Number
3. User Judgement of the GUI Yes (Congruent), No (Not Congruent)
4. skew of the time spend in each trial
5. Kurtosis of the time spend in each trial
6. Mean of the time spend in each trial
7. Variance of the time spend in each trial
8. Standard Deviation of the time spend in each trial
9. Block number on which maximum amount of time is spend (1 - 6 Labels and 7 - 12 pictures)
10. Total time spend in one trial
11. Total gaze distance
12. Total gaze distance in X - axis
13. Total gaze distance in Y - axis
14. Mean of the total Transition 
15. Variance of the total transition
16. Block number on which maximum transition are made (1 - 6 Labels and 7 - 12 pictures)
17. Skew of the total transition in a trial
18. Kurtosis of the total transition in a trial
19. Standard Deviation of the total transition in a trial
20. Trial Type C (Correct) = 1, W (Wrong) = 2, S (Shuffle) = 3, P (one Permutation) = 4

*****************************************************************
exp,trial,userjudgement,time_skew,time_kurtosis,time_mean,time_variance,t_sd,time_maxblock,timefortrial,gazedistall,gazedistX,gazedistY,trans_mean,trans_var,trans_maxblock,trans_skew,trans_kurtosis,trans_sd,correctlabel
1,1,Yes,0.98051819741,0.100932733729,19.5,224.090909091,14.9696662986,9,234,7445.28141411,4795.0,2964.5,620.440117843,0.6239316239316238,11,7.52429744983,58.503640613,0.789893425679,1
1,2,Yes,-0.267218258051,-1.19111733495,16.75,101.295454545,10.0645642998,10,201,6693.97158403,5754.0,1381.5,557.830965336,0.06507381507381507,1,3.38742186119,9.47462686567,0.255095697874,1
1,3,Yes,-0.624547551532,-0.658819317437,20.1666666667,74.8787878788,8.65325302293,12,242,32121.5294181,6713.0,25881.5,2676.79411817,66.53608197358196,11,8.29346800713,66.8675617634,8.15696524288,1
1,4,Yes,0.871155042481,-0.737986384188,12.25,275.659090909,16.6029843977,9,147,3645.9089667,2877.0,1212.5,303.825747225,0.040209790209790215,3,4.58731710926,19.0434782609,0.200523789636,1
1,5,Yes,1.12941611244,1.45265874638,22.6666666667,48.0606060606,6.93257571618,12,272,51878.2271036,6713.0,45481.5,4323.18559197,215.26335470085473,11,8.30257615471,66.96039617,14.671855871,1
1,6,Yes,0.343579741613,-1.54746670537,21.5,575.909090909,23.9981059859,5,258,56276.1727931,2877.0,53717.5,4689.68106609,314.33022533022535,11,8.30583968094,66.9961919373,17.7293605449,3
1,7,Yes,0.242981977371,-0.803294793631,21.4166666667,230.992424242,15.1984349274,12,257,65790.138711,5754.0,60352.0,5482.51155925,375.14199689199694,11,8.2972907796,66.9014448241,19.368582728,1
1,8,Yes,1.35713815801,1.60030779503,19.25,455.113636364,21.3333925189,10,231,6646.28141411,5754.0,1206.5,553.85678451,0.07104700854700856,1,3.18961061226,8.17361585783,0.26654644726,1
1,9,Yes,-0.27547607583,-1.56028965345,17.3333333333,194.060606061,13.9305637381,9,208,63096.2271036,4795.0,58617.5,5258.0189253,377.5848873348873,11,8.30601633037,66.9994826373,19.4315436169,3
1,10,No,2.35907664665,4.53277511908,12.0,580.545454545,24.09451088,9,144,2263.0,1918.0,345.0,188.583333333,0.027195027195027192,3,5.74704893215,31.0285714286,0.164909148306,2
1,11,No,0.615710789621,-0.759932032899,17.5833333333,348.992424242,18.6813389307,9,211,5672.30231448,4795.0,1034.0,472.69185954,0.05283605283605283,1,3.88057000058,13.0588235294,0.229860942389,4
1,12,No,0.672611981173,-1.03071059264,22.6666666667,630.96969697,25.1191101946,12,272,228786.672793,4795.0,224310.0,19065.5560661,5393.70236013986,11,8.30438731272,66.9802156218,73.4418297712,3
1,13,No,1.53257348952,1.04852990899,21.25,1082.56818182,32.9024038912,10,255,142850.390707,4795.0,138212.5,11904.1992256,434.7889957264958,10,5.98668571316,34.7902988928,20.8515945608,2
1,14,No,0.70261640748,-1.01544319338,19.5,522.636363636,22.8612415156,9,234,245752.408967,3836.0,242360.0,20479.3674139,6546.236013986014,11,8.30739571522,67.0135668632,80.9088129562,3
1,15,No,1.12412274244,-0.408025008844,15.6666666667,569.151515152,23.8568965951,10,188,75540.5,1918.0,73622.5,6295.04166667,498.4055944055944,11,8.26875247652,66.5778674735,22.3249993148,2
1,16,Yes,-1.0213677598,0.00675566959822,24.3333333333,144.606060606,12.0252260106,8,292,166842.336397,4795.0,162206.5,13903.528033,2904.669580419581,11,8.30713302016,67.0103830481,53.8949865982,4
1,17,Yes,0.936533426611,-0.564913299771,19.75,654.386363636,25.5809765966,12,237,264974.408337,4795.0,260567.5,22081.2006948,7602.11344211344,11,8.30712336488,67.0103345707,87.1900994501,1
1,18,Yes,1.1528888857,1.62499173281,21.5,294.272727273,17.1543792448,9,258,82385.5,5754.0,76631.5,6865.45833333,640.0489510489509,11,8.30561433628,66.994530227,25.2991887429,1
1,19,No,2.06649185019,3.54834019868,19.1666666667,957.424242424,30.9422727417,12,230,276883.762993,4795.0,272922.5,23073.6469161,7744.473776223776,11,8.30223442314,66.9563344394,88.0026918692,4
1,20,Yes,1.7994748586,3.37759361483,21.6666666667,377.151515152,19.4203891607,12,260,191784.336397,5754.0,186189.5,15982.028033,3865.4947552447543,11,8.30671201967,67.0058821739,62.1731031496,1
1,21,Yes,0.5423131618,-0.618175339076,21.1666666667,390.696969697,19.7660559975,12,254,268119.408337,4795.0,263712.5,22343.2840281,7766.545260295259,11,8.30711154643,67.010204554,88.1280049717,1
1,22,No,0.864929581383,0.371497078388,20.75,414.022727273,20.347548434,12,249,258452.971837,5754.0,253562.5,21537.7476531,7158.520541958042,11,8.30738342165,67.0131921046,84.608040646,3
1,23,Yes,1.40114132857,1.09867495759,22.6666666667,878.606060606,29.6412897932,9,272,4697.5,3836.0,861.5,391.458333333,0.059003496503496504,1,3.61478445646,11.0666666667,0.242906353362,1
1,24,Yes,0.423500098484,-0.856934677637,22.75,436.022727273,20.8811572302,12,273,322352.672793,3836.0,318835.0,26862.7227328,11331.92263986014,11,8.30741588922,67.0135207689,106.451503699,1
1,25,No,0.239033929372,-0.822530479341,20.0,251.454545455,15.8573183563,10,240,6001.5,4795.0,1206.5,500.125,0.08503302253302254,10,4.00431219666,16.7176129427,0.29160422242,4
1,26,Yes,0.919392026077,-0.0185219664051,16.5,275.909090909,16.6105114584,8,198,171107.0,4795.0,166312.0,14258.9166667,2575.510440947941,11,8.27733456558,66.6748501179,50.7494871003,1
1,27,Yes,-0.295098912146,0.129501397409,18.9166666667,91.3560606061,9.55803644093,12,227,212938.5,5754.0,207184.5,17744.875,4775.055167055167,11,8.30685641093,67.0074446286,69.1017739791,1
1,28,Yes,0.829002262696,-0.0596508795183,18.3333333333,339.515151515,18.4259369237,10,220,239283.675006,5754.0,234312.5,19940.3062505,6125.3986013986005,11,8.3070395968,67.0094304822,78.264925742,1
1,29,No,0.87241380523,0.364835474421,18.3333333333,113.151515152,10.6372700986,8,220,248653.836397,5754.0,243059.0,20721.153033,6574.249368686869,11,8.30732876657,67.0126012156,81.0817449781,4
1,30,Yes,0.233549195273,-1.35575888144,22.0833333333,470.628787879,21.6939804526,12,265,456374.336397,3836.0,452697.5,38031.1946997,14147.530254467756,11,8.0706074631,64.1944480016,118.943390966,1
1,31,No,1.38783464855,1.51374807866,20.0,605.090909091,24.5985956731,12,240,384568.781414,6713.0,378170.0,32047.3984512,16070.403846153842,11,8.30743729954,67.0137414577,126.769096574,3
1,32,No,1.3474000472,0.282032065778,17.9166666667,787.356060606,28.0598656555,11,215,828990.172793,3836.0,825472.5,69082.5143994,76617.21284965034,11,8.30746596744,67.0140495461,276.798144592,4
1,33,No,0.379855100237,-1.61600851427,19.75,508.75,22.5554871373,5,237,566469.336397,3836.0,562792.5,47205.778033,35570.41006216007,11,8.30745713878,67.0139838194,188.601193162,4
1,34,Yes,0.337946369405,-1.22443519625,21.0833333333,381.901515152,19.5423006617,5,253,550648.727104,4795.0,546170.0,45887.3939253,33497.05283605285,11,8.30745514493,67.0139199285,183.022000962,1
