Output file needed for ML task
columns representation is as follows: -
1. Experiment Number
2. Trial Number
3. User Judgement of the GUI Yes (Congruent), No (Not Congruent)
4. skew of the time spend in each trial
5. Kurtosis of the time spend in each trial
6. Mean of the time spend in each trial
7. Variance of the time spend in each trial
8. Standard Deviation of the time spend in each trial
9. Block number on which maximum amount of time is spend (1 - 6 Labels and 7 - 12 pictures)
10. Total time spend in one trial
11. Total gaze distance
12. Total gaze distance in X - axis
13. Total gaze distance in Y - axis
14. Mean of the total Transition 
15. Variance of the total transition
16. Block number on which maximum transition are made (1 - 6 Labels and 7 - 12 pictures)
17. Skew of the total transition in a trial
18. Kurtosis of the total transition in a trial
19. Standard Deviation of the total transition in a trial
20. Trial Type C (Correct) = 1, W (Wrong) = 2, S (Shuffle) = 3, P (one Permutation) = 4

*****************************************************************
exp,trial,userjudgement,time_skew,time_kurtosis,time_mean,time_variance,t_sd,time_maxblock,timefortrial,gazedistAll,gazedistX,gazedistY,trans_mean,trans_var,trans_maxblock,trans_skew,trans_kurtosis,trans_sd,correctlabel
1,1,Yes,0.173017063387,-0.87174923796,29.6666666667,636.96969697,25.2382585962,2,356,3408.89070706,2877.0,689.0,0.041666666666666664,0.040209790209790215,1,4.58731710926,19.0434782609,0.200523789636,1
1,2,Yes,1.02409795899,0.30368510934,32.5,213.545454545,14.6131945359,10,390,25426.5,4795.0,20631.5,0.8402777777777778,42.44284188034188,11,8.28910619889,66.8233647842,6.5148171026,1
1,3,Yes,-0.340045345304,-1.22548756211,29.9166666667,447.537878788,21.1550910844,10,359,4418.44212415,3836.0,1206.5,0.041666666666666664,0.040209790209790215,1,4.58731710926,19.0434782609,0.200523789636,1
1,4,No,0.0578160731154,0.778961571981,31.6666666667,238.242424242,15.4351036356,10,380,31518.1398097,5754.0,26231.5,1.0555555555555556,70.44444444444444,11,8.29747167953,66.911178235,8.39311887468,3
1,5,Yes,-0.174522376176,-0.204112453387,32.0,364.181818182,19.0835483645,12,384,47876.7447337,5754.0,42670.0,1.6458333333333333,166.8457167832168,11,8.2828401984,66.7388096187,12.9168772071,1
1,6,Yes,-0.069771872527,-1.22410899483,30.25,406.386363636,20.1590268524,1,363,7302.44212415,4795.0,3131.5,0.125,0.4597902097902098,11,7.27150253428,55.6340846333,0.67807832128,1
1,7,Yes,0.320176094002,-0.914791456419,31.0,574.363636364,23.9658848442,12,372,50498.7447337,3836.0,47210.0,1.7847222222222223,195.48479992229989,11,8.26830473484,66.5719361301,13.9815878899,1
1,8,No,1.27451058767,0.529447607175,29.9166666667,1705.90151515,41.3025606367,2,359,6099.0,5754.0,345.0,0.05555555555555555,0.0808080808080808,2,5.51388056869,31.2647928994,0.284267621807,2
1,9,No,2.18531460137,3.27161481109,29.9166666667,5462.26515152,73.9071387047,10,359,3836.0,3836.0,0.0,0.027777777777777776,0.055167055167055175,4,8.30747160736,67.014084507,0.234876680765,2
1,10,Yes,0.0913963655634,-0.873905318152,29.75,543.295454545,23.3086991174,10,357,3642.05997661,2877.0,1207.0,0.04861111111111111,0.046571484071484065,4,4.19791894418,15.6225234619,0.215804272598,4
