Output file needed for ML task
columns representation is as follows: -
1. Experiment Number
2. Trial Number
3. User Judgement of the GUI Yes (Congruent), No (Not Congruent)
4. skew of the time spend in each trial
5. Kurtosis of the time spend in each trial
6. Mean of the time spend in each trial
7. Variance of the time spend in each trial
8. Standard Deviation of the time spend in each trial
9. Block number on which maximum amount of time is spend (1 - 6 Labels and 7 - 12 pictures)
10. Total time spend in one trial
11. Total gaze distance
12. Total gaze distance in X - axis
13. Total gaze distance in Y - axis
14. Mean of the total Transition 
15. Variance of the total transition
16. Block number on which maximum transition are made (1 - 6 Labels and 7 - 12 pictures)
17. Skew of the total transition in a trial
18. Kurtosis of the total transition in a trial
19. Standard Deviation of the total transition in a trial
20. Trial Type C (Correct) = 1, W (Wrong) = 2, S (Shuffle) = 3, P (one Permutation) = 4

*****************************************************************
exp,trial,userjudgement,time_skew,time_kurtosis,time_mean,time_variance,t_sd,time_maxblock,timefortrial,gazedistall,gazedistX,gazedistY,trans_mean,trans_var,trans_maxblock,trans_skew,trans_kurtosis,trans_sd,correctlabel
1,1,Yes,1.51324225881,1.48324754005,13.1666666667,394.151515152,19.853249486,2,158,3251.78141411,2877.0,689.0,0.034722222222222224,0.03375097125097125,1,5.08290972013,23.835971223,0.1837143741,1
1,2,Yes,0.184031001466,0.294477897175,19.25,101.113636364,10.0555276522,12,231,23209.1398097,4795.0,18881.5,0.7916666666666666,35.27097902097903,11,8.23219296892,66.163787086,5.93893753301,1
1,3,Yes,0.69089079751,-0.952116403902,10.9166666667,153.901515152,12.4057049438,8,131,3237.30231448,2877.0,517.0,0.034722222222222224,0.03375097125097125,1,5.08290972013,23.835971223,0.1837143741,1
1,4,No,-0.625061241143,-0.322417867653,19.5,118.818181818,10.9003753063,9,234,31518.1398097,5754.0,26231.5,1.0555555555555556,70.44444444444444,11,8.29747167953,66.911178235,8.39311887468,3
1,5,Yes,0.812253873839,0.0987332751978,18.0,285.090909091,16.8846352964,12,216,43346.7447337,5754.0,38140.0,1.5486111111111112,151.95566239316238,11,8.29367988743,66.8607829771,12.3270297474,1
1,6,Yes,0.455119864759,-1.28998349396,11.0833333333,127.901515152,11.3093552049,3,133,7302.44212415,4795.0,3131.5,0.125,0.4597902097902098,11,7.27150253428,55.6340846333,0.67807832128,1
1,7,Yes,1.0690540851,0.930727513778,19.0833333333,370.446969697,19.246998979,12,229,43523.7447337,3836.0,40235.0,1.6111111111111112,163.8057498057498,11,8.28896950107,66.8073584798,12.7986620319,1
1,8,No,1.38854110835,0.526746089846,20.1666666667,871.424242424,29.5198957048,2,242,6099.0,5754.0,345.0,0.05555555555555555,0.0808080808080808,2,5.51388056869,31.2647928994,0.284267621807,2
1,9,No,1.90683837366,1.82844214455,10.9166666667,670.083333333,25.8859678848,4,131,3836.0,3836.0,0.0,0.027777777777777776,0.055167055167055175,4,8.30747160736,67.014084507,0.234876680765,2
1,10,Yes,0.559216393875,-0.874139765247,14.25,263.840909091,16.2431803872,9,171,3642.05997661,2877.0,1207.0,0.04861111111111111,0.046571484071484065,4,4.19791894418,15.6225234619,0.215804272598,4
